tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2015-01-01,DKI1 (Bunderan HI),49.0,7.0,18.0,26.0,10.0,49.0,PM10,BAIK
2015-01-02,DKI1 (Bunderan HI),25.0,7.0,10.0,25.0,10.0,25.0,PM10,BAIK
2015-01-03,DKI1 (Bunderan HI),27.0,6.0,12.0,36.0,10.0,36.0,O3,BAIK
2015-01-04,DKI1 (Bunderan HI),22.0,5.0,10.0,38.0,12.0,38.0,O3,BAIK
2015-01-05,DKI1 (Bunderan HI),21.0,5.0,8.0,27.0,7.0,27.0,O3,BAIK
2015-01-06,DKI1 (Bunderan HI),29.0,7.0,11.0,27.0,11.0,29.0,PM10,BAIK
2015-01-07,DKI1 (Bunderan HI),32.0,7.0,11.0,35.0,12.0,35.0,O3,BAIK
2015-01-08,DKI1 (Bunderan HI),29.0,6.0,10.0,36.0,13.0,36.0,O3,BAIK
2015-01-09,DKI1 (Bunderan HI),23.0,6.0,8.0,32.0,7.0,32.0,O3,BAIK
2015-01-10,DKI1 (Bunderan HI),25.0,6.0,9.0,38.0,8.0,38.0,O3,BAIK
2015-01-11,DKI1 (Bunderan HI),26.0,6.0,7.0,41.0,11.0,41.0,O3,BAIK
2015-01-12,DKI1 (Bunderan HI),26.0,7.0,23.0,37.0,13.0,37.0,O3,BAIK
2015-01-13,DKI1 (Bunderan HI),45.0,5.0,26.0,28.0,18.0,45.0,PM10,BAIK
2015-01-14,DKI1 (Bunderan HI),41.0,5.0,24.0,34.0,16.0,41.0,PM10,BAIK
2015-01-15,DKI1 (Bunderan HI),39.0,4.0,27.0,36.0,20.0,39.0,PM10,BAIK
2015-01-16,DKI1 (Bunderan HI),50.0,5.0,20.0,33.0,15.0,50.0,PM10,BAIK
2015-01-17,DKI1 (Bunderan HI),39.0,5.0,13.0,40.0,13.0,40.0,O3,BAIK
2015-01-18,DKI1 (Bunderan HI),44.0,5.0,23.0,45.0,18.0,45.0,O3,BAIK
2015-01-19,DKI1 (Bunderan HI),54.0,5.0,20.0,41.0,16.0,54.0,PM10,SEDANG
2015-01-20,DKI1 (Bunderan HI),70.0,5.0,51.0,48.0,21.0,70.0,PM10,SEDANG
2015-01-21,DKI1 (Bunderan HI),44.0,8.0,43.0,40.0,16.0,44.0,PM10,BAIK
2015-01-22,DKI1 (Bunderan HI),43.0,6.0,35.0,30.0,15.0,43.0,PM10,BAIK
2015-01-23,DKI1 (Bunderan HI),49.0,5.0,42.0,33.0,19.0,49.0,PM10,BAIK
2015-01-24,DKI1 (Bunderan HI),52.0,5.0,67.0,41.0,21.0,67.0,CO,SEDANG
2015-01-29,DKI1 (Bunderan HI),55.0,7.0,20.0,35.0,14.0,55.0,PM10,SEDANG
2015-01-30,DKI1 (Bunderan HI),52.0,5.0,15.0,39.0,13.0,52.0,PM10,SEDANG
2015-01-31,DKI1 (Bunderan HI),54.0,5.0,17.0,36.0,15.0,54.0,PM10,SEDANG
2015-01-01,DKI2 (Kelapa Gading),43.0,2.0,39.0,27.0,7.0,43.0,PM10,BAIK
2015-01-02,DKI2 (Kelapa Gading),28.0,3.0,26.0,48.0,6.0,48.0,O3,BAIK
2015-01-03,DKI2 (Kelapa Gading),22.0,2.0,28.0,44.0,6.0,44.0,O3,BAIK
2015-01-04,DKI2 (Kelapa Gading),18.0,2.0,28.0,42.0,6.0,42.0,O3,BAIK
2015-01-05,DKI2 (Kelapa Gading),19.0,2.0,25.0,32.0,4.0,32.0,O3,BAIK
2015-01-06,DKI2 (Kelapa Gading),27.0,3.0,26.0,37.0,6.0,37.0,O3,BAIK
2015-01-07,DKI2 (Kelapa Gading),29.0,4.0,25.0,35.0,11.0,35.0,O3,BAIK
2015-01-08,DKI2 (Kelapa Gading),30.0,3.0,25.0,40.0,9.0,40.0,O3,BAIK
2015-01-09,DKI2 (Kelapa Gading),24.0,3.0,24.0,31.0,5.0,31.0,O3,BAIK
2015-01-10,DKI2 (Kelapa Gading),25.0,3.0,24.0,43.0,4.0,43.0,O3,BAIK
2015-01-11,DKI2 (Kelapa Gading),23.0,3.0,23.0,36.0,7.0,36.0,O3,BAIK
2015-01-12,DKI2 (Kelapa Gading),30.0,3.0,28.0,29.0,12.0,30.0,PM10,BAIK
2015-01-13,DKI2 (Kelapa Gading),32.0,3.0,39.0,35.0,14.0,39.0,CO,BAIK
2015-01-14,DKI2 (Kelapa Gading),38.0,3.0,44.0,40.0,17.0,44.0,CO,BAIK
2015-01-15,DKI2 (Kelapa Gading),35.0,4.0,33.0,47.0,12.0,47.0,O3,BAIK
2015-01-16,DKI2 (Kelapa Gading),45.0,5.0,33.0,40.0,17.0,45.0,PM10,BAIK
2015-01-17,DKI2 (Kelapa Gading),32.0,3.0,26.0,43.0,15.0,43.0,O3,BAIK
2015-01-18,DKI2 (Kelapa Gading),39.0,3.0,29.0,45.0,12.0,45.0,O3,BAIK
2015-01-19,DKI2 (Kelapa Gading),47.0,3.0,39.0,39.0,16.0,47.0,PM10,BAIK
2015-01-20,DKI2 (Kelapa Gading),69.0,5.0,72.0,51.0,24.0,72.0,CO,SEDANG
2015-01-21,DKI2 (Kelapa Gading),56.0,7.0,61.0,30.0,12.0,61.0,CO,SEDANG
2015-01-22,DKI2 (Kelapa Gading),44.0,3.0,36.0,31.0,13.0,44.0,PM10,BAIK
2015-01-23,DKI2 (Kelapa Gading),47.0,3.0,50.0,40.0,23.0,50.0,CO,BAIK
2015-01-24,DKI2 (Kelapa Gading),55.0,5.0,63.0,59.0,20.0,63.0,CO,SEDANG
2015-01-25,DKI2 (Kelapa Gading),33.0,4.0,29.0,37.0,18.0,37.0,O3,BAIK
2015-01-26,DKI2 (Kelapa Gading),45.0,6.0,37.0,32.0,14.0,45.0,PM10,BAIK
2015-01-27,DKI2 (Kelapa Gading),55.0,5.0,42.0,30.0,13.0,55.0,PM10,SEDANG
2015-01-28,DKI2 (Kelapa Gading),56.0,6.0,36.0,55.0,13.0,56.0,PM10,SEDANG
2015-01-29,DKI2 (Kelapa Gading),54.0,13.0,34.0,47.0,17.0,54.0,PM10,SEDANG
2015-01-30,DKI2 (Kelapa Gading),38.0,6.0,30.0,34.0,12.0,38.0,PM10,BAIK
2015-01-31,DKI2 (Kelapa Gading),35.0,5.0,27.0,34.0,11.0,35.0,PM10,BAIK
2015-01-03,DKI3 (Jagakarsa),9.0,5.0,25.0,8.0,2.0,25.0,CO,BAIK
2015-01-07,DKI3 (Jagakarsa),15.0,6.0,32.0,7.0,3.0,32.0,CO,BAIK
2015-01-12,DKI3 (Jagakarsa),10.0,6.0,25.0,5.0,5.0,25.0,CO,BAIK
2015-01-13,DKI3 (Jagakarsa),10.0,6.0,33.0,5.0,12.0,33.0,CO,BAIK
2015-01-14,DKI3 (Jagakarsa),12.0,6.0,36.0,5.0,7.0,36.0,CO,BAIK
2015-01-15,DKI3 (Jagakarsa),14.0,6.0,34.0,6.0,10.0,34.0,CO,BAIK
2015-01-16,DKI3 (Jagakarsa),18.0,15.0,61.0,24.0,5.0,61.0,CO,SEDANG
2015-01-17,DKI3 (Jagakarsa),16.0,8.0,30.0,6.0,5.0,30.0,CO,BAIK
2015-01-18,DKI3 (Jagakarsa),19.0,6.0,36.0,7.0,7.0,36.0,CO,BAIK
2015-01-19,DKI3 (Jagakarsa),16.0,6.0,37.0,7.0,7.0,37.0,CO,BAIK
2015-01-20,DKI3 (Jagakarsa),28.0,6.0,66.0,9.0,8.0,66.0,CO,SEDANG
2015-01-21,DKI3 (Jagakarsa),21.0,6.0,37.0,10.0,6.0,37.0,CO,BAIK
2015-01-22,DKI3 (Jagakarsa),15.0,6.0,35.0,36.0,12.0,36.0,O3,BAIK
2015-01-23,DKI3 (Jagakarsa),10.0,6.0,50.0,41.0,7.0,50.0,CO,BAIK
2015-01-24,DKI3 (Jagakarsa),17.0,9.0,72.0,65.0,11.0,72.0,CO,SEDANG
2015-01-25,DKI3 (Jagakarsa),12.0,7.0,26.0,67.0,4.0,67.0,O3,SEDANG
2015-01-26,DKI3 (Jagakarsa),14.0,8.0,41.0,59.0,9.0,59.0,O3,SEDANG
2015-01-27,DKI3 (Jagakarsa),12.0,8.0,51.0,49.0,9.0,51.0,CO,SEDANG
2015-01-28,DKI3 (Jagakarsa),19.0,8.0,46.0,65.0,8.0,65.0,O3,SEDANG
2015-01-29,DKI3 (Jagakarsa),10.0,8.0,32.0,61.0,7.0,61.0,O3,SEDANG
2015-01-30,DKI3 (Jagakarsa),12.0,7.0,46.0,50.0,8.0,50.0,O3,BAIK
2015-01-31,DKI3 (Jagakarsa),11.0,8.0,32.0,41.0,4.0,41.0,O3,BAIK
2015-01-01,DKI4 (Lubang Buaya),34.0,10.0,24.0,10.0,6.0,34.0,PM10,BAIK
2015-01-02,DKI4 (Lubang Buaya),20.0,9.0,9.0,19.0,4.0,20.0,PM10,BAIK
2015-01-03,DKI4 (Lubang Buaya),23.0,10.0,11.0,35.0,4.0,35.0,O3,BAIK
2015-01-04,DKI4 (Lubang Buaya),20.0,9.0,14.0,29.0,4.0,29.0,O3,BAIK
2015-01-05,DKI4 (Lubang Buaya),25.0,9.0,10.0,15.0,4.0,25.0,PM10,BAIK
2015-01-06,DKI4 (Lubang Buaya),20.0,9.0,10.0,18.0,4.0,20.0,PM10,BAIK
2015-01-07,DKI4 (Lubang Buaya),28.0,10.0,18.0,19.0,4.0,28.0,PM10,BAIK
